team_id;fifa_version;team_name;league_name;league_level;nationality_id;nationality_name;coach_id;home_stadium;international_prestige
111088;23;Radomiak Radom;Ekstraklasa;1;37;Poland;204726;Euro Park;1
111091;23;Lechia Gda?sk;Ekstraklasa;1;37;Poland;458915;Sanderson Park (FIFA 13 NEW generic);3
111092;23;?l?sk Wroc?aw;Ekstraklasa;1;37;Poland;154225;Waldstadion (Fussballstadion);3
111111;23;Morocco;Friendly International;;129;Morocco;37593553;Stadion 23. Maj;3
111117;23;Fatih Karagümrük;Super Lig;1;48;Turkey;127989;Atatürk Olimpiyat Stad?;1
111131;23;Finn Harps;Premier Division;1;25;Republic of Ireland;456463;Town Park;1
111132;23;UCD;Premier Division;1;25;Republic of Ireland;120550;469;1
111138;23;Minnesota United;Major League Soccer;1;95;United States;429940;Stadion Hanguk;1
111139;23;CF Montréal;Major League Soccer;1;70;Canada;37563973;Molton Road (Sheldon Stadium);4
111140;23;Portland Timbers;Major League Soccer;1;95;United States;1025473;Providence Park;3
111144;23;Seattle Sounders;Major League Soccer;1;95;United States;429937;Lumen Field;4
111235;23;Heidenheim;Bundesliga;2;21;Germany;458978;Molton Road (Sheldon Stadium);1
111239;23;Ingolstadt;3. Liga;3;21;Germany;460156;Stadion Neder;1
111325;23;Nacional;Primera Division;1;60;Uruguay;1494028;El Libertador (La Bombastico);8
111326;23;Liverpool;Primera Division;1;60;Uruguay;212901;Arena del Centenario (Estadio del Pueblo);2
111332;23;Estudiantes Mérida;Primera Division;1;61;Venezuela;467533;Estadio de las Artes (Generic Stadium NG);2
111334;23;Melgar;Primera Division;1;59;Peru;468645;El Monumento (Estadio Latino);3
111339;23;Kas?mpa?a;Super Lig;1;48;Turkey;199962;Stadio Classico;3
111393;23;Adelaide United;A-League;1;195;Australia;23302395;Arena del Centenario (Estadio del Pueblo);3
111395;23;Brisbane Roar;A-League;1;195;Australia;1030239;Court Lane;4
111396;23;Central Coast Mariners;A-League;1;195;Australia;684;Crown Lane;3
111397;23;Melbourne Victory;A-League;1;195;Australia;896782;Stade Municipal;5
111398;23;Newcastle Jets;A-League;1;195;Australia;1552268;Forest Park Stadium (Square Ground);1
111399;23;Perth Glory;A-League;1;195;Australia;5224;Forest Park Stadium (Square Ground);2
111400;23;Sydney;A-League;1;195;Australia;17159485;Stadion 23. Maj;5
111434;23;Cremonese;Serie B;1;27;Italy;1553203;Stadio Classico;1
111455;23;Canada;Friendly International;;70;Canada;14328880;BC Place Stadium;2
111462;23;Ghana;Friendly International;;117;Ghana;37523585;Stadio Classico;5
111473;23;New Zealand;Friendly International;;198;New Zealand;323355;O Dromo;2
111527;23;Qatar;Friendly International;;182;Qatar;1076939;Stadion Hanguk;3
111539;23;Vizela;Liga Portugal;1;38;Portugal;23386218;469;1
111629;23;East Bengal;Super League;1;159;India;474498;O Dromo;3
111651;23;Toronto;Major League Soccer;1;70;Canada;896475;Crown Lane;4
111657;23;Frosinone;Serie A;2;27;Italy;94575;Stadion Neder;1
111659;23;Rodez;Ligue 2;2;18;France;529460;Molton Road (Sheldon Stadium);1
111674;23;Al Shabab;Pro League;1;183;Saudi Arabia;185336;Stade Kokoto (Generic Africa 2);4
111701;23;Al Ain;Pro League;1;190;United Arab Emirates;335781;Estadio de las Artes (Generic Stadium NG);6
111706;23;Godoy Cruz;Liga Profesional;1;52;Argentina;7690084;El Libertador (La Bombastico);1
111707;23;Aldosivi;Liga Profesional;1;52;Argentina;185049;Stadio Classico;1
111708;23;Atlético Tucumán;Liga Profesional;1;52;Argentina;438064;Estadio Nacional (El Medio);2
111710;23;Defensa y Justicia;Liga Profesional;1;52;Argentina;37625768;Arena del Centenario (Estadio del Pueblo);5
111711;23;Huracán;Liga Profesional;1;52;Argentina;10293509;El Libertador (La Bombastico);2
111715;23;Tigre;Liga Profesional;1;52;Argentina;109688;Crown Lane;3
111716;23;Unión Santa Fe;Liga Profesional;1;52;Argentina;133534;Estadio Nacional (El Medio);1
111722;23;Deportes Tolima;Liga BetPlay;1;56;Colombia;467441;Arena d'Oro;4
111724;23;Shandong Taishan;Super League;1;155;China PR;1565626;Stadion Hanguk;3
111766;23;Wellington Phoenix;A-League;1;198;New Zealand;317694;O Dromo;1
111768;23;Beijing Guoan;Super League;1;155;China PR;458508;Stadion Hanguk;5
111769;23;Changchun Yatai;Super League;1;155;China PR;13225192;Euro Arena;2
111773;23;Shenzhen;Super League;1;155;China PR;37529364;Estadio de las Artes (Generic Stadium NG);1
111774;23;Tianjin Jinmen Tiger;Super League;1;155;China PR;37566900;Stadion Olympik;2
111779;23;Henan;Super League;1;155;China PR;37543306;Stadion Olympik;2
111811;23;Monza;Serie A;1;27;Italy;128295;Crown Lane;2
111817;23;Paris;Ligue 2;2;18;France;456022;Euro Arena;1
111822;23;Wolfsberger AC;Bundesliga;1;4;Austria;12066298;Euro Park;4
111839;23;Guangzhou Evergrande;Super League;1;155;China PR;1713;Stadion Hanguk;7
111928;23;San Jose Earthquakes;Major League Soccer;1;95;United States;37626398;Crown Lane;2
111974;23;Sassuolo;Serie A;1;27;Italy;367568;Forest Park Stadium (Square Ground);3
111993;23;Cittadella;Serie B;2;27;Italy;131125;Aloha Park (Generic Oceania 2);1
112001;23;América Mineiro;Serie A;1;54;Brazil;456040;Estadio Nacional (El Medio);2
112026;23;Benevento;Serie B;2;27;Italy;128419;Estadio Presidente G.Lopes;1
112072;23;Mjällby;Allsvenskan;1;46;Sweden;586853;Court Lane;1
112080;23;Sol de América;Primera División;1;58;Paraguay;216896;Aloha Park (Generic Oceania 2);2
112096;23;Al Ettifaq;Pro League;1;183;Saudi Arabia;458558;Stade Kokoto (Generic Africa 2);3
112115;23;Gangwon;K League 1;1;167;Korea Republic;453032;Euro Arena;1
112119;23;Atlético GO;Serie A;1;54;Brazil;158416;Arena d'Oro;2
112120;23;Giresunspor;Super Lig;1;48;Turkey;25583713;Stadion Neder;1
112126;23;Värnamo;Allsvenskan;1;46;Sweden;17281534;Euro Park;1
112134;23;Philadelphia Union;Major League Soccer;1;95;United States;524291;Forest Park Stadium (Square Ground);2
112139;23;Al Nassr;Pro League;1;183;Saudi Arabia;523905;Stade Municipal;5
112163;23;Zhejiang;Super League;1;155;China PR;13991808;Stadion Olympik;1
112168;23;Cosenza;Serie B;2;27;Italy;5666628;Euro Arena;1
112172;23;RB Leipzig;Bundesliga;1;21;Germany;29710;Red Bull Arena (Leipzig);7
112184;23;River Plate;Primera Division;1;60;Uruguay;2876007;Arena del Centenario (Estadio del Pueblo);2
112199;23;Sarpsborg 08;Eliteserien;1;36;Norway;10626699;Court Lane;1
112222;23;Harrogate Town;League Two;4;14;England;1552186;Town Park;1
112224;23;Melbourne City;A-League;1;195;Australia;1631;Stade Municipal;3
112254;23;Newport County;League Two;4;50;Wales;20284;Town Park;1
112259;23;AFC Wimbledon;League Two;4;14;England;2003;Molton Road (Sheldon Stadium);1
112260;23;Fleetwood Town;League One;3;14;England;171725;Crown Lane;1
112378;23;Dalian Professional;Super League;1;155;China PR;37533057;Stadion Olympik;1
112390;23;Al Fateh;Pro League;1;183;Saudi Arabia;2511114;Stade Kokoto (Generic Africa 2);3
112392;23;Al Raed;Pro League;1;183;Saudi Arabia;456665;Stade Kokoto (Generic Africa 2);2
112393;23;Al Taawon;Pro League;1;183;Saudi Arabia;24445026;Stade Kokoto (Generic Africa 2);4
112408;23;Al Wahda;Pro League;1;183;Saudi Arabia;460164;Stade Kokoto (Generic Africa 2);3
112427;23;Western Sydney Wanderers;A-League;1;195;Australia;197728;Waldstadion (Fussballstadion);5
112429;23;Guangzhou R&F;Super League;1;155;China PR;37564013;Euro Arena;2
112472;23;Bragantino;Serie A;1;54;Brazil;1552696;Arena del Centenario (Estadio del Pueblo);1
112494;23;Südtirol;Serie B;2;27;Italy;896634;469;1
112505;23;Mied? Legnica;Ekstraklasa;1;37;Poland;153793;Town Park;1
112511;23;Warta Pozna?;Ekstraklasa;1;37;Poland;37529254;468;1
112513;23;Arouca;Liga Portugal;1;38;Portugal;6648081;Aloha Park (Generic Oceania 2);1
112523;23;La Equidad;Liga BetPlay;1;56;Colombia;27057544;Arena del Centenario (Estadio del Pueblo);2
112533;23;Antofagasta;Primera Division;1;55;Chile;896760;Arena d'Oro;1
112535;23;Unión La Calera;Primera Division;1;55;Chile;252491;Arena d'Oro;1
112540;23;Shanghai Port;Super League;1;155;China PR;60303;Stadion Olympik;5
112541;23;Wuhan Zall;Super League;1;155;China PR;311623;Stadion Olympik;1
112552;23;Quevilly Rouen;Ligue 2;2;18;France;94389;Town Park;1
112558;23;Suwon;K League 1;1;167;Korea Republic;37476493;Stadion 23. Maj;1
112572;23;Al Tai;Pro League;1;183;Saudi Arabia;460152;Stade Kokoto (Generic Africa 2);1
112584;23;Everton;Primera Division;1;55;Chile;25931173;Estadio Presidente G.Lopes;2
112585;23;Ñublense;Primera Division;1;55;Chile;459961;Stadion Neder;1
112606;23;Orlando City;Major League Soccer;1;95;United States;429917;Ivy Lane;5
112670;23;Talleres Córdoba;Liga Profesional;1;52;Argentina;252450;O Dromo;2
